"round" "dhat_doubleObs" "sed_double" "dhat_singleObs" "sed_single" "probOverall" "probObs1" "probObs2" "sed_double_mod"
"1" 1 4.82843137254902 2.21612469816385 5.21428571428571 1.47219120319866 0.99238578680203 0.944444444444444 0.862944162436548 0.00643962227101372
"2" 2 3.16905117801979 2.11413586739022 3.31428571428571 1.92021376110977 0.990482233502538 0.942632850241546 0.834090301896874 0.00702161559518924
"3" 3 4.63917525773196 1.94465130972756 5.32142857142857 1.95966607268855 0.987962962962963 0.898148148148148 0.881818181818182 0.00869859106066656
"4" 4 7.95975329620189 3.77629363020239 7.66428571428571 2.21726757749354 0.996331828442438 0.941098081023454 0.937724073828177 0.00574487719962103
"5" 5 8.32245377247712 2.31183536880523 8.62142857142857 2.11005922665123 0.989625336021505 0.926528418624161 0.858793511937306 0.0101779165314345
"6" 6 6.53613854300844 3.61698679651177 6.58571428571429 2.51612327808878 0.990221088435374 0.933425365158532 0.853113553113553 0.00950436688219011
"7" 7 3.87533200531208 1.98439680327696 5.13571428571429 1.96110667118092 0.989162561576355 0.919413919413919 0.86551724137931 0.00708432341092094
"8" 8 3.85017567754288 1.73504049980427 5.60714285714286 2.01338185215648 0.988410886742757 0.932725766362883 0.827733254907727 0.00830203746443613
"9" 9 11.4645266122507 3.89090737449981 10.5 2.55783932583865 0.98976805637111 0.931462754199823 0.850709734401615 0.01284830345394
"10" 10 9.05869001297017 4.97746898274679 5.83571428571429 2.5060209608905 0.941391941391941 0.889273356401384 0.470695970695971 0.0546169856894483
"11" 11 4.90023474178404 3.6729528026612 4.87142857142857 1.93872444173596 0.946666666666667 0.89873417721519 0.473333333333333 0.0378507902797916
"12" 12 11.1702661850229 4.68552328920478 7.56428571428571 2.81838842697917 0.989730716567777 0.93028743028743 0.852691078889162 0.012545989502657
"13" 13 4.50705163428077 1.43801911180971 5.16428571428571 1.30994671042515 0.986109058667061 0.930553618742156 0.799976023496973 0.0106858947819764
"14" 14 9.09595634665332 4.0028119915563 9.40714285714286 2.66515575944237 0.987923728813559 0.928144904458599 0.831935771632471 0.0194138576494486
"15" 15 9.36266184436517 4.21478820463281 7.87142857142857 2.64625491327393 0.995384069120606 0.945900348667192 0.914677252705422 0.0068729564438598
"16" 16 5.9444817550929 2.54534657453803 6.44285714285714 1.76113163444802 0.995320855614973 0.945196783749471 0.914619164619165 0.00536294886867707
"17" 17 5.65104073156427 2.47985970359791 4.60714285714286 1.59878780611424 0.978187565858799 0.906764346764347 0.766050503383397 0.0141840703138507
"18" 18 5.52527609982305 2.08448312768359 5.62142857142857 1.49520843339774 0.992911668484188 0.945974025974026 0.868797709923664 0.00663327264218358
"19" 19 4.13114565909016 1.79769818762932 3.51428571428571 1.09529853078904 0.978340392760878 0.913692349186371 0.749041863207547 0.0120087265339768
"20" 20 8.89241676942047 4.7561492910286 7.9 2.79970736766145 0.99023199023199 0.935409457900807 0.848770277341706 0.0120068461593562
"21" 21 6.49145299145299 2.56903806042834 5.94285714285714 1.69490356045165 0.994897959183674 0.919811320754717 0.936374549819928 0.00590506475063245
"22" 22 11.3481974710788 4.74785461963019 10.7928571428571 3.17880133244663 0.971764705882353 0.917777777777778 0.656597774244833 0.0280495689949891
"23" 23 8.29615025974091 3.66163957137893 9.78571428571429 2.90721615335099 0.992763010944829 0.945860821451373 0.866326212381101 0.00819367564280805
"24" 24 7.89518596260169 3.95739584997242 6.83571428571429 2.24642439646377 0.9886474609375 0.932205340699816 0.832545230263158 0.0163193296678782
"25" 25 2.19135802469136 1.3839580025159 3.13571428571429 1.13488157200344 0.9 0.818181818181818 0.45 0.029744096414644
"26" 26 2.34722222222222 1.08543139388016 2.46428571428571 0.945363678694077 NA NA NA NA
"27" 27 7.49981315396114 3.93949128828479 4.47857142857143 2.00142731182369 0.977802137571938 0.921868540719305 0.715890850722311 0.0184738044705788
"28" 28 3.70241964608162 3.43061143118479 4.95714285714286 2.38053833934975 0.990343347639485 0.941836734693878 0.833973345380619 0.0079285522353895
"29" 29 4.2723583345859 2.36069520823922 8.97857142857143 2.93154337826194 0.994766746411483 0.944670579326013 0.905416439847578 0.00486004938431514
"30" 30 13.4003350083752 3.89122634380073 13.2214285714286 3.2435581184414 0.995 0.921296296296296 0.936470588235294 0.00889504722575628
"31" 31 5.97185631162114 2.41109313897379 9.07857142857143 2.61915157675015 0.983781205279059 0.933041773488162 0.757777414877113 0.0121915706070205
"32" 32 7.85391890974221 2.07511496210584 6.15 1.96356518488542 0.985000125417012 0.926395998961995 0.796208434712084 0.0129433083271427
"33" 33 11.3684504889855 3.90057209400482 6.42857142857143 2.12346265271019 0.985915657036347 0.924979507076889 0.812260058353808 0.0149241988378251
"34" 34 12.5465314834578 4.14922527101907 10.6928571428571 2.67420540531574 0.989649345162653 0.931782020684169 0.848270867282274 0.0161708947486685
"35" 35 6.3060742648637 2.26886855844508 6.25714285714286 1.57553131342028 0.995512820512821 0.951593137254902 0.90730282375852 0.00561400556259455
"36" 36 5.16219637419446 2.23169024662231 4.72142857142857 2.01891713811247 0.987413467589679 0.907460960092539 0.863986784140969 0.0090657945435429
"37" 37 6.00692346424975 2.70620863916887 4.56428571428571 1.45616419598418 0.927170868347339 0.864229765013055 0.463585434173669 0.0601916054034084
"38" 38 5.36735071177667 2.44366441540117 4.21428571428571 1.4960783068142 0.988486842105263 0.931301652892562 0.832409972299169 0.012047940421839
"39" 39 9.36266184436517 4.21478820463281 7.98571428571429 2.44195091058356 0.995384069120606 0.945900348667192 0.914677252705422 0.0068729564438598
"40" 40 9.21664640852 3.48555213498412 5.82142857142857 2.00491966950112 0.991563360881543 0.941628515369523 0.855466428995841 0.0100817869864786
"41" 41 5.40158371040724 2.20938797558234 7.77857142857143 2.6089046654528 0.982222222222222 0.905737704918033 0.811400966183575 0.0115121049155138
"42" 42 3.37570180008103 1.55837237150775 3.61428571428571 1.25207151282556 0.991563360881543 0.941628515369523 0.855466428995841 0.00573155784709864
"43" 43 9.04937047485158 2.60446739951905 6.69285714285714 1.64278680887076 0.988405156944483 0.933366354701635 0.825991164019333 0.0114429357995224
"44" 44 5.8178972178842 2.61451085316657 7.15 2.22439208955328 0.990716864363074 0.930266343825666 0.86687725631769 0.00802564748655923
"45" 45 5.65361321517567 2.57182416479682 4.17857142857143 1.58324908686802 0.992482311320755 0.926899779735683 0.897159151476388 0.00685171098103784
"46" 46 9.23189993470783 3.80174359821852 9.05 2.38327946502364 0.989925037481259 0.925539669189795 0.86469355683604 0.0107530392949216
"47" 47 4.41490279681234 2.35840856709232 4.57857142857143 1.49395741689829 0.987815884476534 0.927542372881356 0.83184495534866 0.0108155248381122
"48" 48 10.2089169360218 4.79871092713374 8.74285714285714 2.90429422923849 0.995861434702636 0.947084548104956 0.921789096584258 0.00656650346644861
"49" 49 12.7604719367766 4.06997980440178 10.1142857142857 2.72261658270543 0.983941316415543 0.930010306380587 0.770556452614582 0.0197048976213838
"50" 50 2.69294685990338 1.33887187165196 7.67857142857143 2.43241786349818 0.990241102181401 0.934452871072589 0.851116319230295 0.00578982705779168
"51" 51 7.88411312588613 2.98068386422576 6.65714285714286 1.87682923975467 0.995320855614973 0.945196783749471 0.914619164619165 0.00627273857883132
"52" 52 18.013859558559 4.63656324600273 12.3285714285714 2.90617951127261 0.995375560538117 0.937565997888068 0.925930753988946 0.00946134161520038
"53" 53 6.98851190644066 3.71610755266024 5.57142857142857 1.99225315385661 0.993694299646881 0.93401296032875 0.904440320636682 0.00693060093731512
"54" 54 4.90447812064422 1.57599888154473 5.32142857142857 1.89843399164897 0.988325791855204 0.944723183391003 0.78880462260744 0.00909083531046829
"55" 55 6.92018442622951 2.92680294193888 7.78571428571429 2.38766839911946 0.989456609894566 0.930587337909992 0.848105665623914 0.0106445151503571
"56" 56 2.67685185185185 1.65926000391459 1.92142857142857 0.900266733849936 0.918367346938776 0.849056603773585 0.459183673469388 0.0341478912310014
"57" 57 5.11805326290305 2.41450729376584 5.75 2.03369721683143 0.957938013915243 0.896861429135413 0.592179863147605 0.0233934133443732
"58" 58 7.89518596260169 3.69367107120445 7.73571428571429 2.83005966281243 0.9886474609375 0.932205340699816 0.832545230263158 0.0163193296678782
"59" 59 8.8042521288157 3.25084032998858 6.32142857142857 1.84611707627217 0.992260442260442 0.94229049193078 0.865887650085763 0.00878893246920708
"60" 60 3.1524700475956 1.61742945974756 3.90714285714286 1.25766915072171 0.986880466472303 0.912398921832884 0.850235478806907 0.00732912257995039
"61" 61 3.21386508692126 2.13269088193268 4.65 1.52221642913971 0.98963567839196 0.937797619047619 0.833377413382703 0.00754466046695279
"62" 62 5.18009418353061 2.70545849918926 6.17857142857143 1.76915006621335 0.992045454545455 0.942086330935252 0.862648221343874 0.00696013269429725
"63" 63 7.78538873673809 2.8440788295849 7.21428571428571 1.80789999749997 0.993670499021526 0.921116780045351 0.919761123061248 0.00727143632386515
"64" 64 6.68648726851852 3.04378022808956 4.22857142857143 1.55634279037507 0.938875305623472 0.884792626728111 0.469437652811736 0.0558773607972834
"65" 65 4.68025477707006 2.71982213931704 6.95714285714286 2.40616954114715 0.991161616161616 0.941247002398082 0.8495670995671 0.00732071512607266
"66" 66 7.0604172089318 3.5857171379589 6.27857142857143 2.09851316483867 0.98554138196404 0.926349707371605 0.803685531720675 0.0116279907471783
"67" 67 10.5800179366383 3.8489339776518 6.20714285714286 2.05024813302263 0.991124133617772 0.925206138982861 0.881328945163109 0.0103608453702043
"68" 68 9.23169615294543 3.61078694084289 6.55 2.41325993821879 0.991451367781155 0.941378066378066 0.85417348608838 0.0109166339695765
"69" 69 6.86207358456867 3.74774882799265 5.35714285714286 2.10933513645583 0.99378771742989 0.934100767434101 0.905730577910786 0.00682260108812526
"70" 70 2.64000249447652 1.31137882425816 4.7 1.42368175794282 0.989056304520222 0.945421467556095 0.79948717948718 0.00645136284823382
"71" 71 7.89377500769468 3.8021153445901 9.39285714285714 2.56428454390086 0.995862068965517 0.945438673068529 0.92416 0.00572896824652238
"72" 72 18.6255406729559 4.34751341689024 13.35 2.84789838478904 0.994751137865218 0.941530016675931 0.910229799353794 0.0104256803680837
"73" 73 2.31944444444444 1.12346583038411 4.1 1.37497899143614 NA NA NA NA
"74" 74 9.80557874234836 4.05146136058185 9.8 3.03160522695499 0.990082644628099 0.928202479338843 0.861870503597122 0.0112394183105687
"75" 75 11.2564442996484 4.91933935115578 9.92857142857143 3.00380660856465 0.994492056856187 0.94547893481717 0.898975870604463 0.00833558125908877
"76" 76 7.94550408719346 3.89055360749025 7.44285714285714 2.24366722511312 0.991126543209877 0.941025641025641 0.849537037037037 0.00939470620550508
"77" 77 6.34052777917639 2.54818035741227 6.52857142857143 2.13965587207391 0.987912853163549 0.918810140636566 0.851124919648596 0.01078387784975
"78" 78 6.99269393529 3.57398016409114 5.27142857142857 2.37012151384611 0.987141413832165 0.9361263536858 0.798687143918752 0.0110324552961003
"79" 79 4.34722222222222 3.47746825921203 5 2.01775209810615 NA NA NA NA
"80" 80 11.1849334316928 4.13385294307041 8.9 2.65678930511336 0.989674593241552 0.939691027926322 0.828791531286029 0.0119989856312812
"81" 81 6.89320170518286 2.51388824529489 8.60714285714286 2.54737230146222 0.987285132021974 0.937565736884177 0.796347913093196 0.0107084373454899
"82" 82 13.9093251949813 4.75950544626872 8.92857142857143 2.6022891391053 0.99453662484824 0.931223948465328 0.920562826305809 0.00925431421623206
"83" 83 3.82329995206192 1.632706098415 4.15 1.13172360553614 0.984460789391899 0.936902297150744 0.753727791878173 0.00924358239044353
"84" 84 2.86596993032637 2.02716139528038 5.55 1.72694294427266 0.983766233766234 0.934224049331963 0.753196022727273 0.00812428493629847
"85" 85 7.13951612903226 2.19517267138597 7.28571428571429 2.15344025270468 0.986294664708762 0.906432748538012 0.85352422907489 0.0111513425937746
"86" 86 9.35718916186877 2.72783396055202 8.67857142857143 2.15466982176303 0.991513329193494 0.928296036392566 0.881642933255837 0.00957115943297113
"87" 87 2.95833333333333 1.60438151095048 4.86428571428571 2.03337031500294 NA NA NA NA
"88" 88 9.06406421378004 3.90857366451112 7.27142857142857 2.17938612676961 0.991399762752076 0.942752397067118 0.849771225216065 0.0111002811154553
"89" 89 4.21346367165835 1.6121661275604 6.75714285714286 2.50785500671268 0.988893459481695 0.945265806857502 0.797082228116711 0.00912848908769043
"90" 90 4.5138067061144 2.27493898214272 7.59285714285714 2.65051298575107 0.990787269681742 0.938888888888889 0.849246231155779 0.00699355506027271
"91" 91 4.84722222222222 2.74592232508419 6.66428571428571 2.65150074155618 NA NA NA NA
"92" 92 9.60688915694947 3.78933178711503 7.95 2.3021683239061 0.993210862619808 0.933558558558559 0.897817728921861 0.00843854604216613
"93" 93 7.56959972800858 3.58116057842775 8.01428571428571 2.5325391412179 0.992640186915888 0.946213808463252 0.863165379926859 0.00829564047925274
"94" 94 4.94817210096111 3.57976374632794 7.37142857142857 2.92000078113427 0.988019169329074 0.928678678678679 0.832016142592904 0.0116666103992502
"95" 95 6.6788366444759 3.46530285070246 6.03571428571429 2.34597238572278 0.989859681113656 0.941376757957069 0.827025621017037 0.00915272980395392
"96" 96 6.66156928486732 2.77719608372132 5.72142857142857 1.65345231616298 0.994510409889395 0.928793862980404 0.922905660377358 0.00618319886634562
"97" 97 7.55284943803274 3.62968116467324 5.61428571428571 2.41490345634797 0.987486033519553 0.93748674068312 0.799819004524887 0.0110598621735313
"98" 98 3.72879684418146 2.21437950022181 6.09285714285714 2.20644314600277 0.990787269681742 0.938888888888889 0.849246231155779 0.00654976832281855
"99" 99 9.17758191081855 3.86896044376446 6.90714285714286 2.48880024322167 0.989730565371025 0.938337520938023 0.833457318207179 0.0125335419859915
"100" 100 8.52667138726618 3.87771824362472 5.38571428571429 2.00313155194704 0.995243128964059 0.924852652259332 0.936699415495585 0.00710944165596638
